# RAO Surge data generated on 04-Feb-2016 22:15:15
#
#  time period       Amplitude         Phase delay
# (s)               (m)             (radians)
 43.20000000     1.00009651    -0.00156191
 43.60000000     1.00009692    -0.00153973
 44.00000000     1.00009465    -0.00155022
 44.40000000     1.00009318    -0.00156577
 44.80000000     1.00009461    -0.00155976
 45.20000000     1.00009555    -0.00138546
 45.60000000     1.00009619    -0.00143010
 46.00000000     1.00009558    -0.00141165
 46.40000000     1.00009515    -0.00138765
 46.80000000     1.00009665    -0.00132575
 47.20000000     1.00009758    -0.00132318
 47.60000000     1.00010235    -0.00134466
 48.00000000     1.00010262    -0.00126602
 48.40000000     1.00010405    -0.00125664
 48.80000000     1.00011375    -0.00120398
 49.20000000     1.00014316    -0.00120255
 49.60000000     1.00019025    -0.00123614
 50.00000000     1.00016723    -0.00122972
 50.40000000     1.00012634    -0.00118289
 50.80000000     1.00010644    -0.00107789
 51.20000000     1.00010119    -0.00107387
 51.60000000     1.00009983    -0.00110043
 52.00000000     1.00010051    -0.00111727
 52.40000000     1.00010048    -0.00109102
 52.80000000     1.00010071    -0.00103613
 53.20000000     1.00009956    -0.00104076
 53.60000000     1.00009917    -0.00100802
 54.00000000     1.00009696    -0.00101271
 54.40000000     1.00009715    -0.00099418
 54.80000000     1.00009998    -0.00097447
 55.20000000     1.00010112    -0.00093250
 55.60000000     1.00010406    -0.00095739
 56.00000000     1.00010243    -0.00090654
 56.40000000     1.00010049    -0.00089560
 56.80000000     1.00010096    -0.00084583
 57.20000000     1.00010191    -0.00078631
 57.60000000     1.00010362    -0.00085680
 58.00000000     1.00011061    -0.00080654
 58.40000000     1.00012800    -0.00089564
 58.80000000     1.00014748    -0.00053341
 59.20000000     1.00012936    -0.00084292
 59.60000000     1.00010852    -0.00083235
 60.00000000     1.00010544    -0.00078326
 60.40000000     1.00010257    -0.00076464
 60.80000000     1.00010084    -0.00081699
 61.20000000     1.00010184    -0.00075178
 61.60000000     1.00010230    -0.00077119
 62.00000000     1.00010130    -0.00071742
 62.40000000     1.00010325    -0.00082120
 62.80000000     1.00010313    -0.00074586
 63.20000000     1.00010017    -0.00074095
 63.60000000     1.00010184    -0.00063936
 64.00000000     1.00010071    -0.00066572
